Next Week,Weekday,Item Name,Forecast,Forecast Lower,Forecast Upper
2025-03-23,Sunday,Doughnut Honeycomb,3.0,2.0,5.0
2025-03-24,Monday,Doughnut Honeycomb,4.0,2.0,5.0
2025-03-25,Tuesday,Doughnut Honeycomb,3.0,2.0,5.0
2025-03-26,Wednesday,Doughnut Honeycomb,3.0,1.0,5.0
2025-03-27,Thursday,Doughnut Honeycomb,3.0,2.0,5.0
2025-03-21,Friday,Doughnut Raspberry & White Chocolate,3.0,2.0,4.0
2025-03-22,Saturday,Doughnut Raspberry & White Chocolate,3.0,2.0,4.0
2025-03-23,Sunday,Doughnut Raspberry & White Chocolate,3.0,2.0,4.0
2025-03-24,Monday,Doughnut Raspberry & White Chocolate,3.0,2.0,5.0
2025-03-25,Tuesday,Doughnut Raspberry & White Chocolate,2.0,1.0,4.0
2025-03-26,Wednesday,Doughnut Raspberry & White Chocolate,3.0,2.0,4.0
2025-03-27,Thursday,Doughnut Raspberry & White Chocolate,3.0,2.0,4.0
2025-03-21,Friday,Earl Grey tea,3.0,2.0,5.0
2025-03-22,Saturday,Earl Grey tea,3.0,2.0,5.0
2025-03-23,Sunday,Earl Grey tea,2.0,0.0,4.0
2025-03-24,Monday,Earl Grey tea,3.0,1.0,5.0
2025-03-25,Tuesday,Earl Grey tea,2.0,0.0,4.0
2025-03-26,Wednesday,Earl Grey tea,2.0,0.0,4.0
2025-03-27,Thursday,Earl Grey tea,3.0,1.0,5.0
2025-03-21,Friday,Elderflower Sparkling,2.0,1.0,3.0
2025-03-22,Saturday,Elderflower Sparkling,2.0,1.0,2.0
2025-03-23,Sunday,Elderflower Sparkling,1.0,0.0,2.0
2025-03-24,Monday,Elderflower Sparkling,1.0,0.0,2.0
2025-03-25,Tuesday,Elderflower Sparkling,2.0,1.0,3.0
2025-03-26,Wednesday,Elderflower Sparkling,1.0,0.0,2.0
2025-03-27,Thursday,Elderflower Sparkling,1.0,0.0,2.0
2025-03-21,Friday,English breakfast tea,13.0,7.0,18.0
2025-03-22,Saturday,English breakfast tea,13.0,8.0,18.0
2025-03-23,Sunday,English breakfast tea,8.0,3.0,13.0
2025-03-24,Monday,English breakfast tea,12.0,7.0,17.0
2025-03-25,Tuesday,English breakfast tea,8.0,3.0,12.0
2025-03-26,Wednesday,English breakfast tea,13.0,8.0,17.0
2025-03-27,Thursday,English breakfast tea,11.0,6.0,16.0
2025-03-21,Friday,Espresso,2.0,1.0,3.0
2025-03-22,Saturday,Espresso,2.0,1.0,4.0
2025-03-23,Sunday,Espresso,2.0,0.0,3.0
2025-03-24,Monday,Espresso,2.0,1.0,3.0
2025-03-25,Tuesday,Espresso,2.0,0.0,3.0
2025-03-26,Wednesday,Espresso,2.0,0.0,3.0
2025-03-27,Thursday,Espresso,2.0,0.0,3.0
2025-03-21,Friday,Extra Shot,1.0,1.0,1.0
2025-03-22,Saturday,Extra Shot,1.0,1.0,1.0
2025-03-23,Sunday,Extra Shot,1.0,1.0,1.0
2025-03-24,Monday,Extra Shot,1.0,1.0,1.0
2025-03-25,Tuesday,Extra Shot,1.0,1.0,1.0
2025-03-26,Wednesday,Extra Shot,1.0,1.0,1.0
2025-03-27,Thursday,Extra Shot,1.0,1.0,1.0
2025-03-21,Friday,Extra avocado,2.0,1.0,2.0
2025-03-22,Saturday,Extra avocado,3.0,3.0,4.0
2025-03-23,Sunday,Extra avocado,1.0,1.0,2.0
2025-03-24,Monday,Extra avocado,2.0,2.0,3.0
2025-03-25,Tuesday,Extra avocado,1.0,1.0,2.0
2025-03-26,Wednesday,Extra avocado,1.0,1.0,2.0
2025-03-27,Thursday,Extra avocado,3.0,2.0,3.0
2025-03-21,Friday,Flat White,11.0,7.0,17.0
2025-03-22,Saturday,Flat White,11.0,6.0,16.0
2025-03-23,Sunday,Flat White,7.0,2.0,13.0
2025-03-24,Monday,Flat White,12.0,7.0,17.0
2025-03-25,Tuesday,Flat White,11.0,5.0,16.0
2025-03-26,Wednesday,Flat White,15.0,9.0,20.0
2025-03-27,Thursday,Flat White,12.0,7.0,17.0
2025-03-21,Friday,Frittata,2.0,1.0,3.0
2025-03-22,Saturday,Frittata,1.0,0.0,3.0
2025-03-23,Sunday,Frittata,1.0,0.0,3.0
2025-03-24,Monday,Frittata,2.0,1.0,3.0
2025-03-25,Tuesday,Frittata,2.0,1.0,3.0
2025-03-26,Wednesday,Frittata,2.0,1.0,3.0
2025-03-27,Thursday,Frittata,2.0,1.0,3.0
2025-03-21,Friday,Frittata & 1 spoon of salad,2.0,1.0,3.0
2025-03-22,Saturday,Frittata & 1 spoon of salad,1.0,0.0,2.0
2025-03-23,Sunday,Frittata & 1 spoon of salad,1.0,0.0,2.0
2025-03-24,Monday,Frittata & 1 spoon of salad,1.0,1.0,3.0
2025-03-25,Tuesday,Frittata & 1 spoon of salad,2.0,1.0,3.0
2025-03-26,Wednesday,Frittata & 1 spoon of salad,2.0,1.0,3.0
2025-03-27,Thursday,Frittata & 1 spoon of salad,2.0,1.0,3.0
2025-03-21,Friday,Green tea,1.0,-0.0,2.0
2025-03-22,Saturday,Green tea,1.0,1.0,3.0
2025-03-23,Sunday,Green tea,1.0,0.0,2.0
2025-03-24,Monday,Green tea,1.0,-0.0,2.0
2025-03-25,Tuesday,Green tea,1.0,0.0,2.0
2025-03-26,Wednesday,Green tea,1.0,0.0,2.0
2025-03-27,Thursday,Green tea,2.0,1.0,3.0
2025-03-21,Friday,Hot Chocolate,5.0,2.0,8.0
2025-03-22,Saturday,Hot Chocolate,3.0,0.0,6.0
2025-03-23,Sunday,Hot Chocolate,3.0,0.0,6.0
2025-03-24,Monday,Hot Chocolate,6.0,3.0,10.0
2025-03-25,Tuesday,Hot Chocolate,3.0,0.0,6.0
2025-03-26,Wednesday,Hot Chocolate,6.0,3.0,9.0
2025-03-27,Thursday,Hot Chocolate,5.0,2.0,8.0
2025-03-21,Friday,Iced Americano,18.0,18.0,18.0
2025-03-22,Saturday,Iced Americano,-5.0,-5.0,-5.0
2025-03-23,Sunday,Iced Americano,1.0,1.0,1.0
2025-03-24,Monday,Iced Americano,-6.0,-6.0,-6.0
2025-03-25,Tuesday,Iced Americano,-17.0,-17.0,-17.0
2025-03-26,Wednesday,Iced Americano,2.0,2.0,2.0
2025-03-27,Thursday,Iced Americano,4.0,4.0,4.0
2025-03-21,Friday,Iced Latte,1.0,1.0,2.0
2025-03-22,Saturday,Iced Latte,1.0,1.0,2.0
2025-03-23,Sunday,Iced Latte,1.0,1.0,2.0
2025-03-24,Monday,Iced Latte,1.0,1.0,2.0
2025-03-25,Tuesday,Iced Latte,1.0,1.0,2.0
2025-03-26,Wednesday,Iced Latte,1.0,1.0,2.0
2025-03-27,Thursday,Iced Latte,1.0,0.0,1.0
2025-03-21,Friday,Iced Mocha,1.0,1.0,1.0
2025-03-22,Saturday,Iced Mocha,1.0,1.0,1.0
2025-03-23,Sunday,Iced Mocha,1.0,1.0,1.0
2025-03-24,Monday,Iced Mocha,1.0,1.0,1.0
2025-03-25,Tuesday,Iced Mocha,1.0,1.0,1.0
2025-03-26,Wednesday,Iced Mocha,1.0,1.0,1.0
2025-03-27,Thursday,Iced Mocha,1.0,1.0,1.0
2025-03-21,Friday,Kids Hot Chocolate,1.0,1.0,2.0
2025-03-22,Saturday,Kids Hot Chocolate,2.0,1.0,3.0
2025-03-23,Sunday,Kids Hot Chocolate,1.0,0.0,2.0
2025-03-24,Monday,Kids Hot Chocolate,2.0,1.0,2.0
2025-03-25,Tuesday,Kids Hot Chocolate,1.0,1.0,2.0
2025-03-26,Wednesday,Kids Hot Chocolate,2.0,1.0,3.0
2025-03-27,Thursday,Kids Hot Chocolate,2.0,1.0,3.0
2025-03-21,Friday,Latte,14.0,8.0,19.0
2025-03-22,Saturday,Latte,15.0,10.0,20.0
2025-03-23,Sunday,Latte,10.0,5.0,15.0
2025-03-24,Monday,Latte,14.0,9.0,19.0
2025-03-25,Tuesday,Latte,11.0,6.0,16.0
2025-03-26,Wednesday,Latte,17.0,12.0,22.0
2025-03-27,Thursday,Latte,15.0,10.0,20.0
2025-03-21,Friday,Lemon Curd & meringue cruffin,-18.0,-18.0,-18.0
2025-03-22,Saturday,Lemon Curd & meringue cruffin,-18.0,-18.0,-18.0
2025-03-23,Sunday,Lemon Curd & meringue cruffin,-18.0,-18.0,-18.0
2025-03-24,Monday,Lemon Curd & meringue cruffin,-18.0,-18.0,-18.0
2025-03-25,Tuesday,Lemon Curd & meringue cruffin,-18.0,-18.0,-18.0
2025-03-26,Wednesday,Lemon Curd & meringue cruffin,-19.0,-19.0,-19.0
2025-03-27,Thursday,Lemon Curd & meringue cruffin,-19.0,-19.0,-19.0
2025-03-21,Friday,Macchiato,1.0,1.0,1.0
2025-03-22,Saturday,Macchiato,1.0,1.0,1.0
2025-03-23,Sunday,Macchiato,1.0,1.0,1.0
2025-03-24,Monday,Macchiato,1.0,1.0,1.0
2025-03-25,Tuesday,Macchiato,1.0,1.0,1.0
2025-03-26,Wednesday,Macchiato,1.0,1.0,1.0
2025-03-27,Thursday,Macchiato,1.0,1.0,1.0
2025-03-21,Friday,Matcha latte,1.0,0.0,2.0
2025-03-22,Saturday,Matcha latte,1.0,-0.0,1.0
2025-03-23,Sunday,Matcha latte,0.0,-1.0,1.0
2025-03-24,Monday,Matcha latte,-2.0,-2.0,-1.0
2025-03-25,Tuesday,Matcha latte,1.0,0.0,2.0
2025-03-26,Wednesday,Matcha latte,1.0,0.0,2.0
2025-03-27,Thursday,Matcha latte,1.0,0.0,2.0
2025-03-21,Friday,Mocha,2.0,1.0,3.0
2025-03-22,Saturday,Mocha,2.0,1.0,3.0
2025-03-23,Sunday,Mocha,2.0,1.0,3.0
2025-03-24,Monday,Mocha,3.0,1.0,4.0
2025-03-25,Tuesday,Mocha,2.0,1.0,4.0
2025-03-26,Wednesday,Mocha,3.0,1.0,4.0
2025-03-27,Thursday,Mocha,2.0,1.0,3.0
2025-03-21,Friday,Nduja & potato toastie,2.0,2.0,3.0
2025-03-22,Saturday,Nduja & potato toastie,2.0,1.0,3.0
